DRAGON ver.5.4 - No. of variables: 1664				
No.	Rel.No.	Symbol	Definition	Class
725	58	G(S..Br)	sum of geometrical distances between S..Br	geometrical descriptors
726	59	G(S..I)	sum of geometrical distances between S..I	geometrical descriptors
727	60	G(P..P)	sum of geometrical distances between P..P	geometrical descriptors
728	61	G(P..F)	sum of geometrical distances between P..F	geometrical descriptors
729	62	G(P..Cl)	sum of geometrical distances between P..Cl	geometrical descriptors
730	63	G(P..Br)	sum of geometrical distances between P..Br	geometrical descriptors
731	64	G(P..I)	sum of geometrical distances between P..I	geometrical descriptors
732	65	G(F..F)	sum of geometrical distances between F..F	geometrical descriptors
733	66	G(F..Cl)	sum of geometrical distances between F..Cl	geometrical descriptors
734	67	G(F..Br)	sum of geometrical distances between F..Br	geometrical descriptors
735	68	G(F..I)	sum of geometrical distances between F..I	geometrical descriptors
736	69	G(Cl..Cl)	sum of geometrical distances between Cl..Cl	geometrical descriptors
737	70	G(Cl..Br)	sum of geometrical distances between Cl..Br	geometrical descriptors
738	71	G(Cl..I)	sum of geometrical distances between Cl..I	geometrical descriptors
739	72	G(Br..Br)	sum of geometrical distances between Br..Br	geometrical descriptors
740	73	G(Br..I)	sum of geometrical distances between Br..I	geometrical descriptors
741	74	G(I..I)	sum of geometrical distances between I..I	geometrical descriptors
742	1	RDF010u	Radial Distribution Function - 1.0 / unweighted	RDF descriptors
743	2	RDF015u	Radial Distribution Function - 1.5 / unweighted	RDF descriptors
744	3	RDF020u	Radial Distribution Function - 2.0 / unweighted	RDF descriptors
745	4	RDF025u	Radial Distribution Function - 2.5 / unweighted	RDF descriptors
746	5	RDF030u	Radial Distribution Function - 3.0 / unweighted	RDF descriptors
747	6	RDF035u	Radial Distribution Function - 3.5 / unweighted	RDF descriptors
748	7	RDF040u	Radial Distribution Function - 4.0 / unweighted	RDF descriptors
749	8	RDF045u	Radial Distribution Function - 4.5 / unweighted	RDF descriptors
750	9	RDF050u	Radial Distribution Function - 5.0 / unweighted	RDF descriptors
751	10	RDF055u	Radial Distribution Function - 5.5 / unweighted	RDF descriptors
752	11	RDF060u	Radial Distribution Function - 6.0 / unweighted	RDF descriptors
753	12	RDF065u	Radial Distribution Function - 6.5 / unweighted	RDF descriptors
754	13	RDF070u	Radial Distribution Function - 7.0 / unweighted	RDF descriptors
755	14	RDF075u	Radial Distribution Function - 7.5 / unweighted	RDF descriptors
756	15	RDF080u	Radial Distribution Function - 8.0 / unweighted	RDF descriptors
757	16	RDF085u	Radial Distribution Function - 8.5 / unweighted	RDF descriptors
758	17	RDF090u	Radial Distribution Function - 9.0 / unweighted	RDF descriptors
759	18	RDF095u	Radial Distribution Function - 9.5 / unweighted	RDF descriptors
760	19	RDF100u	Radial Distribution Function - 10.0 / unweighted	RDF descriptors
761	20	RDF105u	Radial Distribution Function - 10.5 / unweighted	RDF descriptors
762	21	RDF110u	Radial Distribution Function - 11.0 / unweighted	RDF descriptors
763	22	RDF115u	Radial Distribution Function - 11.5 / unweighted	RDF descriptors
764	23	RDF120u	Radial Distribution Function - 12.0 / unweighted	RDF descriptors
765	24	RDF125u	Radial Distribution Function - 12.5 / unweighted	RDF descriptors
766	25	RDF130u	Radial Distribution Function - 13.0 / unweighted	RDF descriptors
767	26	RDF135u	Radial Distribution Function - 13.5 / unweighted	RDF descriptors
768	27	RDF140u	Radial Distribution Function - 14.0 / unweighted	RDF descriptors
769	28	RDF145u	Radial Distribution Function - 14.5 / unweighted	RDF descriptors
770	29	RDF150u	Radial Distribution Function - 15.0 / unweighted	RDF descriptors
771	30	RDF155u	Radial Distribution Function - 15.5 / unweighted	RDF descriptors
772	31	RDF010m	Radial Distribution Function - 1.0 / weighted by atomic masses	RDF descriptors
773	32	RDF015m	Radial Distribution Function - 1.5 / weighted by atomic masses	RDF descriptors
774	33	RDF020m	Radial Distribution Function - 2.0 / weighted by atomic masses	RDF descriptors
775	34	RDF025m	Radial Distribution Function - 2.5 / weighted by atomic masses	RDF descriptors
776	35	RDF030m	Radial Distribution Function - 3.0 / weighted by atomic masses	RDF descriptors
777	36	RDF035m	Radial Distribution Function - 3.5 / weighted by atomic masses	RDF descriptors
778	37	RDF040m	Radial Distribution Function - 4.0 / weighted by atomic masses	RDF descriptors
779	38	RDF045m	Radial Distribution Function - 4.5 / weighted by atomic masses	RDF descriptors
780	39	RDF050m	Radial Distribution Function - 5.0 / weighted by atomic masses	RDF descriptors
781	40	RDF055m	Radial Distribution Function - 5.5 / weighted by atomic masses	RDF descriptors
782	41	RDF060m	Radial Distribution Function - 6.0 / weighted by atomic masses	RDF descriptors
783	42	RDF065m	Radial Distribution Function - 6.5 / weighted by atomic masses	RDF descriptors
784	43	RDF070m	Radial Distribution Function - 7.0 / weighted by atomic masses	RDF descriptors
785	44	RDF075m	Radial Distribution Function - 7.5 / weighted by atomic masses	RDF descriptors
786	45	RDF080m	Radial Distribution Function - 8.0 / weighted by atomic masses	RDF descriptors
787	46	RDF085m	Radial Distribution Function - 8.5 / weighted by atomic masses	RDF descriptors
788	47	RDF090m	Radial Distribution Function - 9.0 / weighted by atomic masses	RDF descriptors
789	48	RDF095m	Radial Distribution Function - 9.5 / weighted by atomic masses	RDF descriptors
790	49	RDF100m	Radial Distribution Function - 10.0 / weighted by atomic masses	RDF descriptors
791	50	RDF105m	Radial Distribution Function - 10.5 / weighted by atomic masses	RDF descriptors
792	51	RDF110m	Radial Distribution Function - 11.0 / weighted by atomic masses	RDF descriptors
793	52	RDF115m	Radial Distribution Function - 11.5 / weighted by atomic masses	RDF descriptors
794	53	RDF120m	Radial Distribution Function - 12.0 / weighted by atomic masses	RDF descriptors
795	54	RDF125m	Radial Distribution Function - 12.5 / weighted by atomic masses	RDF descriptors
796	55	RDF130m	Radial Distribution Function - 13.0 / weighted by atomic masses	RDF descriptors
797	56	RDF135m	Radial Distribution Function - 13.5 / weighted by atomic masses	RDF descriptors
798	57	RDF140m	Radial Distribution Function - 14.0 / weighted by atomic masses	RDF descriptors
799	58	RDF145m	Radial Distribution Function - 14.5 / weighted by atomic masses	RDF descriptors
800	59	RDF150m	Radial Distribution Function - 15.0 / weighted by atomic masses	RDF descriptors
801	60	RDF155m	Radial Distribution Function - 15.5 / weighted by atomic masses	RDF descriptors
802	61	RDF010v	Radial Distribution Function - 1.0 / weighted by atomic van der Waals volumes	RDF descriptors
803	62	RDF015v	Radial Distribution Function - 1.5 / weighted by atomic van der Waals volumes	RDF descriptors
804	63	RDF020v	Radial Distribution Function - 2.0 / weighted by atomic van der Waals volumes	RDF descriptors
805	64	RDF025v	Radial Distribution Function - 2.5 / weighted by atomic van der Waals volumes	RDF descriptors
806	65	RDF030v	Radial Distribution Function - 3.0 / weighted by atomic van der Waals volumes	RDF descriptors
807	66	RDF035v	Radial Distribution Function - 3.5 / weighted by atomic van der Waals volumes	RDF descriptors
808	67	RDF040v	Radial Distribution Function - 4.0 / weighted by atomic van der Waals volumes	RDF descriptors
809	68	RDF045v	Radial Distribution Function - 4.5 / weighted by atomic van der Waals volumes	RDF descriptors
810	69	RDF050v	Radial Distribution Function - 5.0 / weighted by atomic van der Waals volumes	RDF descriptors
811	70	RDF055v	Radial Distribution Function - 5.5 / weighted by atomic van der Waals volumes	RDF descriptors
812	71	RDF060v	Radial Distribution Function - 6.0 / weighted by atomic van der Waals volumes	RDF descriptors
813	72	RDF065v	Radial Distribution Function - 6.5 / weighted by atomic van der Waals volumes	RDF descriptors
814	73	RDF070v	Radial Distribution Function - 7.0 / weighted by atomic van der Waals volumes	RDF descriptors
815	74	RDF075v	Radial Distribution Function - 7.5 / weighted by atomic van der Waals volumes	RDF descriptors
816	75	RDF080v	Radial Distribution Function - 8.0 / weighted by atomic van der Waals volumes	RDF descriptors
817	76	RDF085v	Radial Distribution Function - 8.5 / weighted by atomic van der Waals volumes	RDF descriptors
818	77	RDF090v	Radial Distribution Function - 9.0 / weighted by atomic van der Waals volumes	RDF descriptors
819	78	RDF095v	Radial Distribution Function - 9.5 / weighted by atomic van der Waals volumes	RDF descriptors
820	79	RDF100v	Radial Distribution Function - 10.0 / weighted by atomic van der Waals volumes	RDF descriptors
821	80	RDF105v	Radial Distribution Function - 10.5 / weighted by atomic van der Waals volumes	RDF descriptors
822	81	RDF110v	Radial Distribution Function - 11.0 / weighted by atomic van der Waals volumes	RDF descriptors
823	82	RDF115v	Radial Distribution Function - 11.5 / weighted by atomic van der Waals volumes	RDF descriptors
824	83	RDF120v	Radial Distribution Function - 12.0 / weighted by atomic van der Waals volumes	RDF descriptors
825	84	RDF125v	Radial Distribution Function - 12.5 / weighted by atomic van der Waals volumes	RDF descriptors
826	85	RDF130v	Radial Distribution Function - 13.0 / weighted by atomic van der Waals volumes	RDF descriptors
827	86	RDF135v	Radial Distribution Function - 13.5 / weighted by atomic van der Waals volumes	RDF descriptors
828	87	RDF140v	Radial Distribution Function - 14.0 / weighted by atomic van der Waals volumes	RDF descriptors
829	88	RDF145v	Radial Distribution Function - 14.5 / weighted by atomic van der Waals volumes	RDF descriptors
830	89	RDF150v	Radial Distribution Function - 15.0 / weighted by atomic van der Waals volumes	RDF descriptors
831	90	RDF155v	Radial Distribution Function - 15.5 / weighted by atomic van der Waals volumes	RDF descriptors
832	91	RDF010e	Radial Distribution Function - 1.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
833	92	RDF015e	Radial Distribution Function - 1.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
834	93	RDF020e	Radial Distribution Function - 2.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
835	94	RDF025e	Radial Distribution Function - 2.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
836	95	RDF030e	Radial Distribution Function - 3.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
837	96	RDF035e	Radial Distribution Function - 3.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
838	97	RDF040e	Radial Distribution Function - 4.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
839	98	RDF045e	Radial Distribution Function - 4.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
840	99	RDF050e	Radial Distribution Function - 5.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
841	100	RDF055e	Radial Distribution Function - 5.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
842	101	RDF060e	Radial Distribution Function - 6.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
843	102	RDF065e	Radial Distribution Function - 6.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
844	103	RDF070e	Radial Distribution Function - 7.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
845	104	RDF075e	Radial Distribution Function - 7.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
846	105	RDF080e	Radial Distribution Function - 8.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
847	106	RDF085e	Radial Distribution Function - 8.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
848	107	RDF090e	Radial Distribution Function - 9.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
849	108	RDF095e	Radial Distribution Function - 9.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
850	109	RDF100e	Radial Distribution Function - 10.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
851	110	RDF105e	Radial Distribution Function - 10.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
852	111	RDF110e	Radial Distribution Function - 11.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
853	112	RDF115e	Radial Distribution Function - 11.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
854	113	RDF120e	Radial Distribution Function - 12.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
855	114	RDF125e	Radial Distribution Function - 12.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
856	115	RDF130e	Radial Distribution Function - 13.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
857	116	RDF135e	Radial Distribution Function - 13.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
858	117	RDF140e	Radial Distribution Function - 14.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
859	118	RDF145e	Radial Distribution Function - 14.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
860	119	RDF150e	Radial Distribution Function - 15.0 / weighted by atomic Sanderson electronegativities	RDF descriptors
861	120	RDF155e	Radial Distribution Function - 15.5 / weighted by atomic Sanderson electronegativities	RDF descriptors
862	121	RDF010p	Radial Distribution Function - 1.0 / weighted by atomic polarizabilities	RDF descriptors
863	122	RDF015p	Radial Distribution Function - 1.5 / weighted by atomic polarizabilities	RDF descriptors
864	123	RDF020p	Radial Distribution Function - 2.0 / weighted by atomic polarizabilities	RDF descriptors
865	124	RDF025p	Radial Distribution Function - 2.5 / weighted by atomic polarizabilities	RDF descriptors
866	125	RDF030p	Radial Distribution Function - 3.0 / weighted by atomic polarizabilities	RDF descriptors
867	126	RDF035p	Radial Distribution Function - 3.5 / weighted by atomic polarizabilities	RDF descriptors
868	127	RDF040p	Radial Distribution Function - 4.0 / weighted by atomic polarizabilities	RDF descriptors
869	128	RDF045p	Radial Distribution Function - 4.5 / weighted by atomic polarizabilities	RDF descriptors
870	129	RDF050p	Radial Distribution Function - 5.0 / weighted by atomic polarizabilities	RDF descriptors
871	130	RDF055p	Radial Distribution Function - 5.5 / weighted by atomic polarizabilities	RDF descriptors
872	131	RDF060p	Radial Distribution Function - 6.0 / weighted by atomic polarizabilities	RDF descriptors
873	132	RDF065p	Radial Distribution Function - 6.5 / weighted by atomic polarizabilities	RDF descriptors
874	133	RDF070p	Radial Distribution Function - 7.0 / weighted by atomic polarizabilities	RDF descriptors
875	134	RDF075p	Radial Distribution Function - 7.5 / weighted by atomic polarizabilities	RDF descriptors
876	135	RDF080p	Radial Distribution Function - 8.0 / weighted by atomic polarizabilities	RDF descriptors
877	136	RDF085p	Radial Distribution Function - 8.5 / weighted by atomic polarizabilities	RDF descriptors
878	137	RDF090p	Radial Distribution Function - 9.0 / weighted by atomic polarizabilities	RDF descriptors
879	138	RDF095p	Radial Distribution Function - 9.5 / weighted by atomic polarizabilities	RDF descriptors
880	139	RDF100p	Radial Distribution Function - 10.0 / weighted by atomic polarizabilities	RDF descriptors
881	140	RDF105p	Radial Distribution Function - 10.5 / weighted by atomic polarizabilities	RDF descriptors
882	141	RDF110p	Radial Distribution Function - 11.0 / weighted by atomic polarizabilities	RDF descriptors
883	142	RDF115p	Radial Distribution Function - 11.5 / weighted by atomic polarizabilities	RDF descriptors
884	143	RDF120p	Radial Distribution Function - 12.0 / weighted by atomic polarizabilities	RDF descriptors
885	144	RDF125p	Radial Distribution Function - 12.5 / weighted by atomic polarizabilities	RDF descriptors
886	145	RDF130p	Radial Distribution Function - 13.0 / weighted by atomic polarizabilities	RDF descriptors
887	146	RDF135p	Radial Distribution Function - 13.5 / weighted by atomic polarizabilities	RDF descriptors
888	147	RDF140p	Radial Distribution Function - 14.0 / weighted by atomic polarizabilities	RDF descriptors
889	148	RDF145p	Radial Distribution Function - 14.5 / weighted by atomic polarizabilities	RDF descriptors
890	149	RDF150p	Radial Distribution Function - 15.0 / weighted by atomic polarizabilities	RDF descriptors
891	150	RDF155p	Radial Distribution Function - 15.5 / weighted by atomic polarizabilities	RDF descriptors
892	1	Mor01u	3D-MoRSE - signal 01 / unweighted	3D-MoRSE descriptors
893	2	Mor02u	3D-MoRSE - signal 02 / unweighted	3D-MoRSE descriptors
894	3	Mor03u	3D-MoRSE - signal 03 / unweighted	3D-MoRSE descriptors
895	4	Mor04u	3D-MoRSE - signal 04 / unweighted	3D-MoRSE descriptors
896	5	Mor05u	3D-MoRSE - signal 05 / unweighted	3D-MoRSE descriptors
897	6	Mor06u	3D-MoRSE - signal 06 / unweighted	3D-MoRSE descriptors
898	7	Mor07u	3D-MoRSE - signal 07 / unweighted	3D-MoRSE descriptors
899	8	Mor08u	3D-MoRSE - signal 08 / unweighted	3D-MoRSE descriptors
900	9	Mor09u	3D-MoRSE - signal 09 / unweighted	3D-MoRSE descriptors
901	10	Mor10u	3D-MoRSE - signal 10 / unweighted	3D-MoRSE descriptors
902	11	Mor11u	3D-MoRSE - signal 11 / unweighted	3D-MoRSE descriptors
903	12	Mor12u	3D-MoRSE - signal 12 / unweighted	3D-MoRSE descriptors
904	13	Mor13u	3D-MoRSE - signal 13 / unweighted	3D-MoRSE descriptors
905	14	Mor14u	3D-MoRSE - signal 14 / unweighted	3D-MoRSE descriptors
906	15	Mor15u	3D-MoRSE - signal 15 / unweighted	3D-MoRSE descriptors
907	16	Mor16u	3D-MoRSE - signal 16 / unweighted	3D-MoRSE descriptors
908	17	Mor17u	3D-MoRSE - signal 17 / unweighted	3D-MoRSE descriptors
909	18	Mor18u	3D-MoRSE - signal 18 / unweighted	3D-MoRSE descriptors
910	19	Mor19u	3D-MoRSE - signal 19 / unweighted	3D-MoRSE descriptors
911	20	Mor20u	3D-MoRSE - signal 20 / unweighted	3D-MoRSE descriptors
912	21	Mor21u	3D-MoRSE - signal 21 / unweighted	3D-MoRSE descriptors
913	22	Mor22u	3D-MoRSE - signal 22 / unweighted	3D-MoRSE descriptors
914	23	Mor23u	3D-MoRSE - signal 23 / unweighted	3D-MoRSE descriptors
915	24	Mor24u	3D-MoRSE - signal 24 / unweighted	3D-MoRSE descriptors
916	25	Mor25u	3D-MoRSE - signal 25 / unweighted	3D-MoRSE descriptors
917	26	Mor26u	3D-MoRSE - signal 26 / unweighted	3D-MoRSE descriptors
918	27	Mor27u	3D-MoRSE - signal 27 / unweighted	3D-MoRSE descriptors
919	28	Mor28u	3D-MoRSE - signal 28 / unweighted	3D-MoRSE descriptors
920	29	Mor29u	3D-MoRSE - signal 29 / unweighted	3D-MoRSE descriptors
921	30	Mor30u	3D-MoRSE - signal 30 / unweighted	3D-MoRSE descriptors
922	31	Mor31u	3D-MoRSE - signal 31 / unweighted	3D-MoRSE descriptors
923	32	Mor32u	3D-MoRSE - signal 32 / unweighted	3D-MoRSE descriptors
924	33	Mor01m	3D-MoRSE - signal 01 / weighted by atomic masses	3D-MoRSE descriptors
925	34	Mor02m	3D-MoRSE - signal 02 / weighted by atomic masses	3D-MoRSE descriptors
926	35	Mor03m	3D-MoRSE - signal 03 / weighted by atomic masses	3D-MoRSE descriptors
927	36	Mor04m	3D-MoRSE - signal 04 / weighted by atomic masses	3D-MoRSE descriptors
928	37	Mor05m	3D-MoRSE - signal 05 / weighted by atomic masses	3D-MoRSE descriptors
929	38	Mor06m	3D-MoRSE - signal 06 / weighted by atomic masses	3D-MoRSE descriptors
930	39	Mor07m	3D-MoRSE - signal 07 / weighted by atomic masses	3D-MoRSE descriptors
931	40	Mor08m	3D-MoRSE - signal 08 / weighted by atomic masses	3D-MoRSE descriptors
932	41	Mor09m	3D-MoRSE - signal 09 / weighted by atomic masses	3D-MoRSE descriptors
933	42	Mor10m	3D-MoRSE - signal 10 / weighted by atomic masses	3D-MoRSE descriptors
934	43	Mor11m	3D-MoRSE - signal 11 / weighted by atomic masses	3D-MoRSE descriptors
935	44	Mor12m	3D-MoRSE - signal 12 / weighted by atomic masses	3D-MoRSE descriptors
936	45	Mor13m	3D-MoRSE - signal 13 / weighted by atomic masses	3D-MoRSE descriptors
937	46	Mor14m	3D-MoRSE - signal 14 / weighted by atomic masses	3D-MoRSE descriptors
938	47	Mor15m	3D-MoRSE - signal 15 / weighted by atomic masses	3D-MoRSE descriptors
939	48	Mor16m	3D-MoRSE - signal 16 / weighted by atomic masses	3D-MoRSE descriptors
940	49	Mor17m	3D-MoRSE - signal 17 / weighted by atomic masses	3D-MoRSE descriptors
941	50	Mor18m	3D-MoRSE - signal 18 / weighted by atomic masses	3D-MoRSE descriptors
942	51	Mor19m	3D-MoRSE - signal 19 / weighted by atomic masses	3D-MoRSE descriptors
943	52	Mor20m	3D-MoRSE - signal 20 / weighted by atomic masses	3D-MoRSE descriptors
944	53	Mor21m	3D-MoRSE - signal 21 / weighted by atomic masses	3D-MoRSE descriptors
945	54	Mor22m	3D-MoRSE - signal 22 / weighted by atomic masses	3D-MoRSE descriptors
946	55	Mor23m	3D-MoRSE - signal 23 / weighted by atomic masses	3D-MoRSE descriptors
947	56	Mor24m	3D-MoRSE - signal 24 / weighted by atomic masses	3D-MoRSE descriptors
948	57	Mor25m	3D-MoRSE - signal 25 / weighted by atomic masses	3D-MoRSE descriptors
949	58	Mor26m	3D-MoRSE - signal 26 / weighted by atomic masses	3D-MoRSE descriptors
950	59	Mor27m	3D-MoRSE - signal 27 / weighted by atomic masses	3D-MoRSE descriptors
951	60	Mor28m	3D-MoRSE - signal 28 / weighted by atomic masses	3D-MoRSE descriptors
952	61	Mor29m	3D-MoRSE - signal 29 / weighted by atomic masses	3D-MoRSE descriptors
953	62	Mor30m	3D-MoRSE - signal 30 / weighted by atomic masses	3D-MoRSE descriptors
954	63	Mor31m	3D-MoRSE - signal 31 / weighted by atomic masses	3D-MoRSE descriptors
955	64	Mor32m	3D-MoRSE - signal 32 / weighted by atomic masses	3D-MoRSE descriptors
956	65	Mor01v	3D-MoRSE - signal 01 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
957	66	Mor02v	3D-MoRSE - signal 02 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
958	67	Mor03v	3D-MoRSE - signal 03 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
959	68	Mor04v	3D-MoRSE - signal 04 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
960	69	Mor05v	3D-MoRSE - signal 05 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
961	70	Mor06v	3D-MoRSE - signal 06 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
962	71	Mor07v	3D-MoRSE - signal 07 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
963	72	Mor08v	3D-MoRSE - signal 08 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
964	73	Mor09v	3D-MoRSE - signal 09 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
965	74	Mor10v	3D-MoRSE - signal 10 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
966	75	Mor11v	3D-MoRSE - signal 11 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
967	76	Mor12v	3D-MoRSE - signal 12 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
968	77	Mor13v	3D-MoRSE - signal 13 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
969	78	Mor14v	3D-MoRSE - signal 14 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
970	79	Mor15v	3D-MoRSE - signal 15 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
971	80	Mor16v	3D-MoRSE - signal 16 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
972	81	Mor17v	3D-MoRSE - signal 17 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
973	82	Mor18v	3D-MoRSE - signal 18 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
974	83	Mor19v	3D-MoRSE - signal 19 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
975	84	Mor20v	3D-MoRSE - signal 20 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
976	85	Mor21v	3D-MoRSE - signal 21 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
977	86	Mor22v	3D-MoRSE - signal 22 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
978	87	Mor23v	3D-MoRSE - signal 23 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
979	88	Mor24v	3D-MoRSE - signal 24 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
980	89	Mor25v	3D-MoRSE - signal 25 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
981	90	Mor26v	3D-MoRSE - signal 26 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
982	91	Mor27v	3D-MoRSE - signal 27 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
983	92	Mor28v	3D-MoRSE - signal 28 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
984	93	Mor29v	3D-MoRSE - signal 29 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
985	94	Mor30v	3D-MoRSE - signal 30 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
986	95	Mor31v	3D-MoRSE - signal 31 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
987	96	Mor32v	3D-MoRSE - signal 32 / weighted by atomic van der Waals volumes	3D-MoRSE descriptors
988	97	Mor01e	3D-MoRSE - signal 01 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
989	98	Mor02e	3D-MoRSE - signal 02 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
990	99	Mor03e	3D-MoRSE - signal 03 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
991	100	Mor04e	3D-MoRSE - signal 04 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
992	101	Mor05e	3D-MoRSE - signal 05 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
993	102	Mor06e	3D-MoRSE - signal 06 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
994	103	Mor07e	3D-MoRSE - signal 07 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
995	104	Mor08e	3D-MoRSE - signal 08 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
996	105	Mor09e	3D-MoRSE - signal 09 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
997	106	Mor10e	3D-MoRSE - signal 10 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
998	107	Mor11e	3D-MoRSE - signal 11 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
999	108	Mor12e	3D-MoRSE - signal 12 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1000	109	Mor13e	3D-MoRSE - signal 13 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1001	110	Mor14e	3D-MoRSE - signal 14 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1002	111	Mor15e	3D-MoRSE - signal 15 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1003	112	Mor16e	3D-MoRSE - signal 16 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1004	113	Mor17e	3D-MoRSE - signal 17 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1005	114	Mor18e	3D-MoRSE - signal 18 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1006	115	Mor19e	3D-MoRSE - signal 19 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1007	116	Mor20e	3D-MoRSE - signal 20 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1008	117	Mor21e	3D-MoRSE - signal 21 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1009	118	Mor22e	3D-MoRSE - signal 22 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1010	119	Mor23e	3D-MoRSE - signal 23 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1011	120	Mor24e	3D-MoRSE - signal 24 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1012	121	Mor25e	3D-MoRSE - signal 25 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1013	122	Mor26e	3D-MoRSE - signal 26 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1014	123	Mor27e	3D-MoRSE - signal 27 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1015	124	Mor28e	3D-MoRSE - signal 28 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1016	125	Mor29e	3D-MoRSE - signal 29 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
1017	126	Mor30e	3D-MoRSE - signal 30 / weighted by atomic Sanderson electronegativities	3D-MoRSE descriptors
