No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr05	D/Dr06	D/Dr09	D/Dr10	D/Dr11	D/Dr12	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
63	PAH-L071.HIN	indene	46	90	53	102	8	7.049	2.16	2.189	0.377	18	2	9	25.712	17.556	0.283	390	574	373	739	8.591	0	79	2.194	14.5	20.5	48.621	4.45	0.95	3.367	143	16.233	248	994	1.398	11.946	540	59.5	59.5	59.5	59.5	59.5	1.97	2.625	2.625	2.625	2.625	2.625	0.379	0.199	1.739	5.514	26.529	4.804	1.729	0.673	0.923	0.963	0.56	0.332	0.184	0.078	0.333	70	32	3.556	0.494	1.827	14	32	6	0	0	0.991	12.724	15.679	23.893	0	0	0	6.104	4.466	3.736	3.216	2.687	1.779	0.678	0.447	0.287	0.189	0.128	0.089	5.171	3.211	2.305	1.69	1.196	0.648	0.575	0.321	0.177	0.099	0.057	0.032	6.104	4.466	3.736	3.216	2.687	1.779	26.798	2.176	46.245
64	PAH-L072.HIN	azulene	50	104	57	118	8	7.742	2.143	2.169	0.359	20	2	13	30.549	21.4	0.274	512	780	497	1066	9.687	0	107	2.378	16.359	24.033	67.206	5.564	1.047	3.526	206	18.5	344	1515	1.456	14.756	750	71.333	71.333	71.333	71.333	71.333	1.953	2.93	2.93	2.93	2.93	2.93	0.356	0.12	1.426	6.284	21.219	5.483	2.144	0.918	1.176	0.929	0.554	0.324	0.18	0.079	0.667	82	38	3.8	0.64	2.32	17	44	8	0	0	1.522	14.137	0	0	29.513	0	0	6.812	4.966	4.089	3.466	2.864	1.9	0.681	0.451	0.292	0.193	0.13	0.09	5.619	3.405	2.347	1.659	1.134	0.618	0.562	0.31	0.168	0.092	0.052	0.029	6.812	4.966	4.089	3.466	2.864	1.9	29.798	2.271	53.64
65	PAH-L073.HIN	acenaphthene	68	126	83	152	13	9.94	2.25	2.289	0.317	24	4	18	39.739	27.667	0.239	824	1156	857	1590	11.481	0	166	2.515	21.83	33.4	93.435	12.51	0.751	5.081	332	25	627	3330	1.374	17.715	2418	119.667	119.667	119.667	119.667	119.667	1.845	2.58	2.58	2.58	2.58	2.58	0.267	0.249	2.441	8.705	33.02	6.243	2.1	0.76	1.093	0.953	0.582	0.36	0.216	0.109	0.667	114	50	4.167	0.556	3.111	21	80	11	0	0	1.459	13.618	34.478	51.889	29.599	33.392	0	7.966	5.949	5.297	4.841	4.455	3.552	0.664	0.425	0.265	0.167	0.109	0.072	6.878	4.445	3.432	2.741	2.188	1.466	0.573	0.318	0.172	0.095	0.053	0.03	7.966	5.949	5.297	4.841	4.455	3.552	35.697	2.488	79.391
66	PAH-L074.HIN	acenaphthylene	68	136	83	165	13	9.94	2.25	2.289	0.317	24	4	18	39.739	27.667	0.239	824	1224	857	1779	11.481	0	166	2.515	21.83	33.4	93.435	12.51	0.751	5.081	332	25	627	3330	1.374	17.715	2418	116.167	116.167	116.167	116.167	116.167	1.845	2.643	2.643	2.643	2.643	2.643	0.324	0.178	2.442	8.18	29.02	6.013	1.978	0.704	0.991	0.889	0.582	0.36	0.216	0.109	0.667	114	50	4.167	0.556	3.111	21	80	11	0	0	1.459	13.618	34.478	51.889	29.599	33.392	0	7.966	5.949	5.297	4.841	4.455	3.552	0.664	0.425	0.265	0.167	0.109	0.072	6.619	4.149	3.126	2.412	1.857	1.23	0.552	0.296	0.156	0.083	0.045	0.025	7.966	5.949	5.297	4.841	4.455	3.552	35.697	2.488	79.391
67	PAH-L075.HIN	fluorene	72	140	87	166	13	10.633	2.229	2.266	0.307	26	4	19	45.539	33.692	0.25	1056	1532	1101	2208	12.695	0	219	2.808	23.537	36.983	130.869	16.266	1.305	5.124	490	27.076	815	4732	1.375	21.549	2805	165	165	165	165	165	1.762	2.321	2.321	2.321	2.321	2.321	0.396	0.218	2.62	9.617	36.106	6.904	2.463	0.92	1.308	0.922	0.574	0.35	0.212	0.116	0.5	144	64	4.923	0.71	4.899	26	100	16	0	0	1.577	14.015	40.169	57.113	0	0	0	8.673	6.449	5.652	5.091	4.574	3.821	0.667	0.43	0.269	0.17	0.109	0.073	7.326	4.612	3.491	2.706	2.08	1.45	0.564	0.307	0.166	0.09	0.05	0.028	8.673	6.449	5.652	5.091	4.574	3.821	38.697	2.614	87.058
68	PAH-L076.HIN	1-methylfluorene	78	148	95	177	14	11.038	2.1	2.2	0.301	28	5	22	50.769	38.143	0.242	1255	1778	1290	2475	13.6	3.955	267	2.934	25.693	41.467	165.208	19.162	1.363	5.124	617	29.771	959	5662	2.534	26.538	3352	204.667	204.667	204.667	204.667	204.667	1.786	2.325	2.325	2.325	2.325	2.325	0.391	0.231	2.955	11.222	51.303	7.809	2.713	1.041	1.514	0.943	0.584	0.359	0.21	0.117	0.5	155	70	5	0.714	5.735	29	128	19	2	0.544	1.577	15.39	44.908	63.477	0	0	0	9.544	6.86	6.18	5.57	4.907	4.077	0.682	0.429	0.269	0.169	0.107	0.07	8.249	5.028	3.935	3.085	2.317	1.627	0.589	0.314	0.171	0.093	0.05	0.028	9.544	6.86	6.18	5.57	4.907	4.077	41.161	2.654	97.563
69	PAH-L077.HIN	2-methylfluorene	78	148	94	176	14	11.038	2.1	2.2	0.301	28	5	21	51.112	39.143	0.251	1287	1816	1326	2523	13.704	4.129	274	3.011	25.561	41.169	167.548	19.433	1.444	5.124	657	29.576	954	5601	2.545	27.382	3356	209.333	209.333	209.333	209.333	209.333	1.739	2.274	2.274	2.274	2.274	2.274	0.396	0.301	3.172	11.187	53.303	7.809	2.713	1.111	1.514	0.942	0.585	0.346	0.203	0.116	0.75	171	77	5.5	0.929	6.02	30	128	25	2	0.544	1.985	15.909	45.639	64.84	0	0	0	9.544	6.843	6.286	5.427	4.838	4.037	0.682	0.428	0.273	0.17	0.108	0.071	8.249	5.022	3.995	2.949	2.274	1.597	0.589	0.314	0.174	0.092	0.051	0.028	9.544	6.843	6.286	5.427	4.838	4.037	41.06	2.676	96.723
70	PAH-L078.HIN	3-methylfluorene	78	148	94	176	14	11.038	2.1	2.2	0.301	28	5	21	51.019	38.857	0.248	1278	1804	1316	2507	13.672	4.088	272	2.989	25.58	41.226	167.399	19.416	1.435	5.124	644	29.607	953	5589	2.547	27.255	3356	207	207	207	207	207	1.751	2.298	2.298	2.298	2.298	2.298	0.397	0.293	3.188	11.191	53.303	7.809	2.713	1.111	1.514	0.942	0.585	0.347	0.203	0.12	0.75	166	75	5.357	0.837	5.837	29	138	24	2	0.544	1.924	15.863	45.458	64.668	0	0	0	9.544	6.843	6.286	5.434	4.786	4.153	0.682	0.428	0.273	0.17	0.106	0.072	8.249	5.022	3.995	2.954	2.238	1.655	0.589	0.314	0.174	0.092	0.05	0.029	9.544	6.843	6.286	5.434	4.786	4.153	41.06	2.672	96.868
71	PAH-L079.HIN	4-methylfluorene	78	148	95	177	14	11.038	2.1	2.2	0.301	28	5	22	50.666	37.857	0.239	1246	1766	1280	2459	13.573	3.904	265	2.912	25.728	41.55	164.762	19.11	1.34	5.124	606	29.824	958	5649	2.535	26.411	3352	202.333	202.333	202.333	202.333	202.333	1.8	2.353	2.353	2.353	2.353	2.353	0.396	0.238	2.987	11.236	49.303	7.809	2.713	1.041	1.514	0.943	0.583	0.358	0.216	0.118	0.5	155	70	5	0.714	5.714	28	138	20	2	0.544	1.577	15.36	44.724	63.32	0	0	0	9.544	6.86	6.19	5.504	5.023	4.084	0.682	0.429	0.269	0.167	0.107	0.07	8.249	5.028	3.943	3.027	2.385	1.63	0.589	0.314	0.171	0.092	0.051	0.028	9.544	6.86	6.19	5.504	5.023	4.084	41.161	2.649	97.788
72	PAH-L080.HIN	9-methylfluorene	78	146	96	177	14	11.038	2.1	2.2	0.301	28	5	23	50.5	37.429	0.236	1232	1750	1264	2443	13.537	3.814	262	2.879	25.811	41.717	162.167	18.809	1.212	5.124	591	29.943	954	5613	2.556	26.283	3294	202	202	202	202	202	1.825	2.358	2.358	2.358	2.358	2.358	0.776	0.282	3.369	11.746	41.303	7.809	2.713	0.978	1.514	0.949	0.581	0.368	0.223	0.122	0.5	153	69	4.929	0.663	5.571	29	118	17	2	0.544	1.577	16.073	43.903	63.904	0	0	0	9.544	6.877	6.083	5.65	5.063	4.223	0.682	0.43	0.264	0.166	0.105	0.07	8.196	5.059	3.896	3.145	2.407	1.68	0.585	0.316	0.169	0.092	0.05	0.028	9.544	6.877	6.083	5.65	5.063	4.223	41.262	2.639	98.308
73	PAH-L081.HIN	1-2-benzofluorene	98	190	121	231	18	14.216	2.267	2.308	0.265	34	6	29	67.611	54.235	0.232	2211	3179	2414	4839	16.495	0	461	3.39	33.009	56.057	268.87	37.954	1.611	6.887	1222	38.66	1914	14607	1.345	33.441	10490	339.667	339.667	339.667	339.667	339.667	1.56	2.108	2.108	2.108	2.108	2.108	0.424	0.267	3.799	13.869	67.487	9.005	3.207	1.182	1.699	0.903	0.583	0.361	0.217	0.123	1	244	106	6.235	0.983	8.512	40	242	32	0	0	2.184	16.421	70.62	65.33	38.641	0	0	11.242	8.433	7.558	7.031	6.42	5.561	0.661	0.422	0.261	0.164	0.104	0.067	9.481	6.022	4.647	3.715	2.906	2.12	0.558	0.301	0.16	0.086	0.047	0.026	11.242	8.433	7.558	7.031	6.42	5.561	50.596	3.01	134.66
74	PAH-L082.HIN	fluoranthene	94	186	118	231	18	13.523	2.286	2.328	0.272	32	6	29	60.868	45.5	0.216	1772	2592	1926	3968	15.264	0	364	3.033	31.449	52.467	205.06	30.609	1.115	6.836	853	36.786	1581	11327	1.338	27.839	9577	242.667	242.667	242.667	242.667	242.667	1.677	2.516	2.516	2.516	2.516	2.516	0.328	0.22	3.512	12.38	50	8.118	2.733	0.927	1.387	0.879	0.584	0.37	0.234	0.135	0.5	187	81	5.063	0.703	6.375	35	168	22	0	0	1.579	14.422	61.602	87.995	34.246	37.521	0	10.535	7.949	7.139	6.733	6.413	5.727	0.658	0.418	0.255	0.157	0.099	0.064	8.774	5.565	4.255	3.412	2.743	2.048	0.548	0.293	0.152	0.079	0.042	0.023	10.535	7.949	7.139	6.733	6.413	5.727	47.697	2.868	127.475
75	PAH-L083.HIN	2-3-benzofluorene	98	190	120	230	18	14.216	2.267	2.308	0.265	34	6	28	67.978	55.412	0.238	2262	3246	2479	4951	16.589	0	471	3.463	32.837	55.658	273.569	38.618	1.708	6.887	1281	38.405	1906	14493	1.357	34.495	10506	344.333	344.333	344.333	344.333	344.333	1.522	2.074	2.074	2.074	2.074	2.074	0.42	0.338	3.985	13.819	69.487	9.005	3.207	1.242	1.699	0.902	0.584	0.354	0.209	0.12	0.6	254	110	6.471	0.969	9.024	42	228	30	0	0	1.993	17.224	72.712	67.043	39.68	0	0	11.242	8.416	7.644	6.976	6.288	5.507	0.661	0.421	0.264	0.166	0.105	0.068	9.481	6.017	4.69	3.66	2.827	2.087	0.558	0.301	0.162	0.087	0.047	0.026	11.242	8.416	7.644	6.976	6.288	5.507	50.495	3.034	133.45
76	PAH-L084.HIN	3-4-benzofluorene	98	190	121	231	18	14.216	2.267	2.308	0.265	34	6	29	67.324	53.294	0.226	2171	3119	2364	4727	16.413	0	453	3.331	33.095	56.296	267.594	37.774	1.574	6.887	1170	38.794	1912	14576	1.347	32.918	10488	330.333	330.333	330.333	330.333	330.333	1.589	2.17	2.17	2.17	2.17	2.17	0.42	0.275	3.841	13.89	69.487	9.005	3.207	1.182	1.699	0.903	0.582	0.36	0.22	0.127	1	239	104	6.118	0.858	7.758	38	260	32	0	0	2.116	16.358	69.031	64.657	38.118	0	0	11.242	8.433	7.567	6.983	6.438	5.676	0.661	0.422	0.261	0.162	0.102	0.067	9.481	6.022	4.655	3.683	2.906	2.158	0.558	0.301	0.161	0.086	0.046	0.025	11.242	8.433	7.567	6.983	6.438	5.676	50.596	2.995	135.334
77	PAH-L085.HIN	benzo[ghi]fluoranthene	112	218	144	278	23	15.72	2.348	2.395	0.252	36	8	37	71.303	53.111	0.196	2386	3448	2694	5446	16.833	0	478	3.124	37.621	64.633	244.514	42.619	0.854	8.493	1140	44.395	2385	19872	1.201	30.948	27600	318.667	318.667	318.667	318.667	318.667	1.593	2.39	2.39	2.39	2.39	2.39	0.316	0.247	4.371	14.162	59.059	8.709	2.73	0.886	1.321	0.86	0.598	0.381	0.24	0.145	0.5	221	93	5.167	0.741	6.988	41	218	23	0	0	1.547	13.676	80.109	113.255	100.644	109.614	0	11.69	8.933	8.357	8.102	7.843	7.374	0.649	0.406	0.246	0.15	0.092	0.059	9.774	6.309	5.037	4.157	3.42	2.711	0.543	0.287	0.148	0.077	0.04	0.022	11.69	8.933	8.357	8.102	7.843	7.374	53.596	3.031	161.377
78	PAH-L086.HIN	benzo[k]fluoranthene	120	236	151	295	23	17.107	2.308	2.352	0.242	40	8	38	84.597	69.8	0.212	3384	4896	3805	7767	19.013	0	698	3.674	41.021	72.931	389.157	61.628	1.633	8.599	1970	48.586	3178	28472	1.341	42.129	30912	465.333	465.333	465.333	465.333	465.333	1.453	2.18	2.18	2.18	2.18	2.18	0.351	0.333	4.951	16.612	68.439	10.221	3.488	1.244	1.782	0.871	0.591	0.368	0.225	0.133	0.6	313	133	6.65	0.985	10.8	53	336	40	0	0	1.985	17.165	99.765	102.037	84.258	45.166	0	13.104	9.916	9.131	8.624	8.1	7.404	0.655	0.413	0.254	0.157	0.098	0.062	10.928	6.97	5.454	4.371	3.476	2.673	0.546	0.29	0.152	0.079	0.042	0.022	13.104	9.916	9.131	8.624	8.1	7.404	59.495	3.267	178.745
79	PAH-L087.HIN	benzo[b]fluoranthene	120	236	152	296	23	17.107	2.308	2.352	0.242	40	8	39	83.961	67.6	0.203	3271	4739	3660	7487	18.857	0	676	3.558	41.311	73.668	376.15	59.568	1.363	8.597	1831	49.026	3201	28842	1.31	40.408	30538	450.667	450.667	450.667	450.667	450.667	1.504	2.256	2.256	2.256	2.256	2.256	0.344	0.34	4.804	16.682	86.439	10.221	3.488	1.198	1.782	0.872	0.588	0.371	0.234	0.139	0.6	303	129	6.45	0.895	10.4	51	332	37	0	0	1.959	17.022	94.346	99.277	76.038	40.475	0	13.104	9.933	9.056	8.626	8.237	7.562	0.655	0.414	0.252	0.154	0.096	0.061	10.928	6.976	5.419	4.392	3.552	2.743	0.546	0.291	0.151	0.078	0.041	0.022	13.104	9.933	9.056	8.626	8.237	7.562	59.596	3.231	180.945
80	PAH-L088.HIN	benzo[j]fluoranthene	120	236	152	296	23	17.107	2.308	2.352	0.242	40	8	39	84.024	67.8	0.204	3282	4754	3675	7515	18.87	0	678	3.568	41.291	73.611	381.576	60.427	1.519	8.599	1844	48.995	3188	28646	1.332	40.659	30870	452	452	452	452	452	1.5	2.25	2.25	2.25	2.25	2.25	0.351	0.27	4.805	16.693	82.439	10.221	3.488	1.198	1.782	0.872	0.589	0.373	0.234	0.138	1	298	127	6.35	0.985	9.9	49	376	44	0	0	2.166	16.475	95.982	99.131	81.318	43.573	0	13.104	9.933	9.054	8.63	8.263	7.535	0.655	0.414	0.251	0.154	0.096	0.061	10.928	6.976	5.419	4.393	3.56	2.731	0.546	0.291	0.151	0.078	0.041	0.022	13.104	9.933	9.054	8.63	8.263	7.535	59.596	3.232	180.761
81	PAH-L089.HIN	ovalene	218	414	291	550	48	29.479	2.462	2.512	0.184	64	18	84	155.798	131.625	0.149	10758	15166	13157	25803	27.594	0	2106	4.246	79.006	160.948	891.877	191.992	0.846	17.152	6509	96.973	14412	216942	1.142	72.773	3563635	1404	1404	1404	1404	1404	1.214	1.821	1.821	1.821	1.821	1.821	0.317	0.421	9.281	27.932	100	14.781	4.399	1.375	2.032	0.832	0.618	0.394	0.249	0.162	0.8	602	240	7.5	1	16.922	98	1076	60	0	0	2.149	0	256.235	0	799.167	0	506.234	20.292	15.865	15.79	15.904	15.954	16.356	0.634	0.387	0.232	0.14	0.083	0.05	17.083	11.369	9.681	8.336	7.175	6.274	0.534	0.277	0.142	0.073	0.037	0.019	20.292	15.865	15.79	15.904	15.954	16.356	95.192	4.043	420.424
82	PAH-L090.HIN	quaterryllene	260	500	342	652	53	35.835	2.4	2.449	0.167	80	20	99	216.288	227.2	0.171	22556	31884	27320	54160	34.429	0	4544	5.826	96.603	210.025	2115.036	409.936	2.216	19.155	19976	119.277	26724	473922	1.323	129.998	7098108	3029.333	3029.333	3029.333	3029.333	3029.333	0.967	1.45	1.45	1.45	1.45	1.45	0.353	0.391	12.193	38.173	136.877	19.813	6.501	2.129	3.22	0.847	0.606	0.393	0.249	0.151	0.875	1136	460	11.5	2	39.24	172	2208	134	0	0	2.971	0	413.749	0	980.632	0	442.358	25.689	19.865	18.984	18.993	18.951	18.438	0.642	0.397	0.237	0.144	0.089	0.055	21.547	14.119	11.561	9.872	8.366	6.912	0.539	0.282	0.145	0.075	0.039	0.02	25.689	19.865	18.984	18.993	18.951	18.438	119.192	4.736	535.487
